Model,Scenario,Region,Variable,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Reference,EDGAR AR6,ABW,Emissions|CH4,Mt CH4/yr,0.0031037046938099996,0.00290125652979,0.0029066496562100003,0.00304917806913,0.00328445448809,0.0033162223565,0.00235581215759,0.0023440519942200004,0.00220888150942,0.00210011518127,0.001430273806225,0.002039341260546,0.00124232661893,0.0011305114812699998,0.00113367896999,0.0011349994327000002,0.00113640374463,0.00113885927584,0.0011434703351400001,0.0011469391068074804,,
Reference,EDGAR AR6,ABW,Emissions|CO2|Energy,Mt CO2/yr,0.8415186777999999,0.86755204988,0.84438623254,1.00757761779,1.06655138652,1.10971070579,1.06624276334,1.0749938925700002,1.00443001336,1.084277074806,1.00994793276,0.86315862145,1.1634787283427,1.1927633665,1.1687380848,1.1686971618000002,1.1133393657,0.8964978047,0.8706009418,0.8497555547,,
Reference,EDGAR AR6,ABW,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,0.8448298696,0.87108118934,0.8479674173,1.0114376760100001,1.07048045014,1.11421613832,1.0706685845719999,1.079362872859,1.008690513004,1.088944169406,1.01429846524,0.867010479042,1.1674776059467,1.196804777426,1.172818163678,1.1727529088000002,1.11733024567,0.90048869453,0.87459090067,0.8537393243248,,
Reference,EDGAR AR6,AFG,Emissions|CH4,Mt CH4/yr,0.4351324785751,0.38541103919656,0.46637160930926996,0.48320211653351,0.48889662861922,0.48274262218624997,0.48742683990113,0.50556663433637,0.54757587530985,0.5670293360147,0.6327852216233,0.6501010642285501,0.6359421610277,0.6329214304712499,0.64997855853321,0.6259145276495001,0.6167281612029201,0.61120929226582,0.62008474312134,0.6227753672437362,,
Reference,EDGAR AR6,AFG,Emissions|CO2|Energy,Mt CO2/yr,0.8388411270499999,0.957366167,0.591760663,0.7865502999999999,0.6994494769999999,1.001750265,1.2198362660000002,1.87938508,3.643711263,5.4141948300000005,7.080521729999999,11.750708914999999,9.573744318,7.804330756,7.00230983144,7.356498447545,5.9208755997,8.08134244317,8.30382831781,11.633976088759999,,
Reference,EDGAR AR6,AFG,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,0.98810478605,1.0998247167,0.7423045721,0.9458406532,0.8624146233,1.1649598828,1.3818451579,2.0461611447,3.8069710707,5.58230163,7.263221527,11.936325605,9.820152503000001,8.117334216,7.28915311144,7.597127647545,6.1816459497,8.37367069317,8.58366075781,11.91939705876,,
Reference,EDGAR AR6,AGO,Emissions|CH4,Mt CH4/yr,1.7309228507500003,1.6602211393100001,1.63646979633,1.59438824358,1.7842707048600002,1.81064800708,1.5493464118599998,1.502267704055,1.567824596965,1.538718162565,1.7119244048050002,1.632218630925,1.671942524609,1.6981288530890002,1.680308013808,1.76373461769,1.7344489875395,1.708083423649,1.721085685457,1.7827087220954556,,
Reference,EDGAR AR6,AGO,Emissions|CO2|Energy,Mt CO2/yr,16.424230854899,16.019428591422,15.740672024252001,17.110118165562998,17.451206023528,15.374174135589,16.136572431169,16.659044513667002,18.774556790698,20.626737842365998,23.228765564167002,24.250808180086,23.065232086010003,25.741375462232998,28.002530065930003,30.004219119771,30.529335411713998,25.708354287175997,23.7820649394292,21.7697256706216,,
Reference,EDGAR AR6,AGO,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,16.614876604899,16.294457291422,16.036540149252,17.450198255563,17.815916018528,15.976344150589,16.734988126169,17.247032988667,19.500942965698002,21.322386062366,23.836741354167,24.842759420086,24.19933055601,27.831634982233,30.42034842393,32.606670099771,33.071919641714,28.248617597176,26.454253629429203,24.4580927706216,,
Reference,EDGAR AR6,AIA,Emissions|CH4,Mt CH4/yr,0.00011448857574442,0.00011771318627396,0.00012029134503217,0.00012381357039274,0.00012677787929765,0.00012992685675093,0.00013227262289857,0.00013461859304794,0.00013722061669247,0.00014001067868207,0.000142558857005385,0.000144498769124285,0.00014625906582428502,0.00014817019416383498,0.000149839330331371,0.000151487961500499,0.00015227978071479997,0.000153033983292051,0.00015359124662825098,0.00015529571136526176,,
Reference,EDGAR AR6,AIA,Emissions|CO2|Energy,Mt CO2/yr,0.015530885975800001,0.0159088125199,0.010857221018100001,0.0141044711858,0.013470590941799998,0.013660573863,0.0128116415803,0.012353899121599999,0.0152678233151,0.020160277738000002,0.0240038314324,0.026007338976399997,0.0260225029764,0.0279398164235,0.0278953353007,0.0280047210323,0.028339131124399997,0.0290616804743,0.028222235230699996,0.027579246329000003,,
Reference,EDGAR AR6,AIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,0.015531534145800002,0.015910760529900002,0.0108589162081,0.014107807185800002,0.0134718836618,0.013661621543,0.0128124427703,0.0123547273516,0.015268491565099998,0.020160956288,0.0240045198324,0.0260080367764,0.0260232096264,0.0279405237515,0.0278960509127,0.028005445025300002,0.0283398622364,0.029062418774300002,0.0282229807907,0.027579999535,,
Reference,EDGAR AR6,AIR,Emissions|CH4,Mt CH4/yr,0.00247930061975,0.0024295765290499997,0.00256972593809,0.00255806342388,0.00276059349951,0.00293893449394,0.0030464120039999996,0.0031307025039999997,0.003182305008,0.003030941491,0.003199109004,0.003317843006,0.003344019487,0.003400996002,0.003514635496,0.00370899798895,0.00388899199925,0.00411616949395,0.00428886254635,0.004445297664782149,,
Reference,EDGAR AR6,AIR,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,354.51607787,347.408461148,367.44733368638003,365.79378901109,394.755458836,420.261166194,435.63084089999995,447.6885791,455.0662737,433.421749,457.4719503,474.4500891,478.1938131,486.33826469999997,502.58840380000004,530.376870194,553.786633436,584.8633067860001,609.402253206,615.885560082,,
Reference,EDGAR AR6,ALB,Emissions|CH4,Mt CH4/yr,0.10651296782116,0.10534101915928999,0.10499480200967,0.10568805854096,0.10369936256558,0.10220908830994,0.10187467254384,0.09811464444208999,0.0941491508206,0.09081792807564999,0.09192820175445,0.09097003524791,0.09341297539444,0.09593301619962001,0.09843263182822999,0.09978290467507,0.09828047164053,0.0976016202126,0.09682532816548998,0.09557506597201865,,
Reference,EDGAR AR6,ALB,Emissions|CO2|Energy,Mt CO2/yr,3.0845350512620002,3.22501615597,3.7513386535419997,3.823608947352,4.00826933548,3.8263434238180003,3.7937715513400003,3.77734030614,3.710218682,3.76783293214,3.9323503915000004,4.14417765087,3.48752810106,3.6496588073500003,4.1384618906799995,3.8653274954899994,3.74629124883,4.37852402549,4.382944059456,4.568770577971001,,
Reference,EDGAR AR6,ALB,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,3.255202002262,3.45918506097,3.995741235542,4.213220587752,4.39256900588,4.177603922218,4.13308107674,4.24243795654,4.2027902104,4.28642058254,4.5728778695,4.96675036587,4.51860537746,4.7723801767500005,5.0799475230799995,4.84631038849,4.676153127829999,5.30507628419,5.328834787756,5.5299188469709994,,
Reference,EDGAR AR6,ANT,Emissions|CH4,Mt CH4/yr,0.0051425154151,0.00548432465585,0.004885816948,0.004637536322999999,0.00507567594993,0.00521636813213,0.0050175834169,0.00524578831369,0.00509339756783,0.004896457168369999,0.0034941920685299995,0.0046451722102,0.00471547541612,0.0047829945707199995,0.0049771799572,0.004868415027130001,0.0046164804287200005,0.00423559052817,0.004126280132349999,0.00414556650994506,,
Reference,EDGAR AR6,ANT,Emissions|CO2|Energy,Mt CO2/yr,5.6208285163900005,5.65794565802,5.41231837605,5.42843598194,5.66940260713,5.97766720344,5.8834100000700005,6.39263371021,6.3273012379999996,5.93072188114,4.3782671891,5.496730028869999,4.4616530785799995,4.30455251031,4.623404423379999,4.6911963304,4.150895338680001,3.74821472327,3.2219205190099998,3.1447759305400003,,
Reference,EDGAR AR6,ANT,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,5.67069148869,5.70837584077,5.462725912650001,5.478838948790001,5.721039866930001,6.03212733332,5.93885785185,6.451460648389999,6.3856589047600005,5.98683317889,4.4350095829,5.55410349757,4.50175301303,4.34466823759,4.664153385850001,4.731343709200001,4.190442504040001,3.78782327958,3.2614317709,3.18418999431,,
Reference,EDGAR AR6,ARE,Emissions|CH4,Mt CH4/yr,1.1723378020756001,1.1987440346329998,1.151072866871,1.219313158615,1.2173469336254,1.2799135206023,1.3416440749857,1.3481574138929,1.3579377967566,1.3405942721486999,1.4000017723229,1.491244577368,1.548073632762,1.5904466892100002,1.6052019938591,1.7241483723448001,1.7644846040509001,1.7528677417116,1.78954807964818,1.8217446747721309,,
Reference,EDGAR AR6,ARE,Emissions|CO2|Energy,Mt CO2/yr,82.78677198495001,95.10223808022,96.7922385553,101.21947114823,107.10492337752,113.27701388951,117.29300636615,126.35279157864,148.55814143184,150.54188536484997,156.68259802586002,160.37366058827,170.77848033596,179.61685139397,178.67486649309998,188.917486785,194.1902609761,198.8830878845,191.5231450142,189.97421311339997,,
Reference,EDGAR AR6,ARE,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,88.52398882795,101.16183296922,103.4931976153,108.80484591123,115.01798987652,122.46458148050999,127.20390751515,137.18216741364,164.30798528184,165.45112000884998,172.03364141086,176.36454617727,185.96933289196,195.69759857896997,197.8282299231,208.152813037,215.09185535909998,220.52611560350002,214.26673255019998,212.82949876639998,,
Reference,EDGAR AR6,ARG,Emissions|CH4,Mt CH4/yr,4.875807898683,4.8994285222926,5.0858412835747,5.4111351979018005,5.5353898111626,5.51468751926891,5.61540029531733,5.52820596619791,5.4275635133679305,5.1880365576112,4.854352510934101,4.7975662118194995,4.910976847606601,4.966080471428301,5.0175715964174,5.0906921531178,5.1129842190303005,5.163733436670101,5.1890241867828,5.284774641769415,,
Reference,EDGAR AR6,ARG,Emissions|CO2|Energy,Mt CO2/yr,141.4810397281,131.0147808785,123.9980434343,133.0656305689,148.2369038404,150.8805371685,160.3810299393,167.10680974000002,178.7428490623,170.6870193915,174.92580492140002,182.4223811711,189.0886847509,184.4426386764,188.42162740470002,193.6896396294,193.2907980106,186.2478893862,183.7621780515,170.2556538905,,
Reference,EDGAR AR6,ARG,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,147.3399461981,137.6640946585,130.1009155443,140.3670845889,156.1414373194,159.3846264689,169.7888070213,177.163183742,189.5243910543,180.8492353735,185.7631324634,193.49402309309997,199.9843621329,195.5192244684,199.1302946207,204.53827208540002,203.9882184176,197.9749208342,195.3112965005,181.9803238265,,
Reference,EDGAR AR6,ARM,Emissions|CH4,Mt CH4/yr,0.07505219280043,0.07592013466169,0.07893313295842999,0.08215427517690001,0.08509679535093,0.08660443699312001,0.08842117621738999,0.08571190421802001,0.08647918983073,0.08198396667566,0.0809180205409,0.08139389229352,0.08446681835849,0.08984007630462,0.09157246991307,0.09391731081287,0.09615235122273999,0.09255646031578,0.08684204207950999,0.08540370586280999,,
Reference,EDGAR AR6,ARM,Emissions|CO2|Energy,Mt CO2/yr,3.42225298,3.45854011,2.90725342,3.27528952,3.46559066,4.12987596,4.151041768,4.79761583,5.273212480000001,4.26949226,4.0482638799999995,4.6728208,5.4386236,5.24381582,5.220116845000001,4.702348001,4.833014494,5.165658387,5.3971652604,5.1061716502,,
Reference,EDGAR AR6,ARM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,3.652464635,3.7224738214,3.1915602979999997,3.5699588301999996,3.8131944062,4.5220385272,4.5493478741999995,5.2359612072,5.7408923722,4.5913882972,4.3925857362,4.9981828902,5.755283868199999,5.5661843642,5.540547341200001,5.0133940051999994,5.0794390832000005,5.4509627242,5.766008964599999,5.4774901814,,
