Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Reference,EDGAR AR6,ABW,Emissions|CH4,Mt CH4/yr,0.001430273806225,0.002039341260546,0.00124232661893,0.0011305114812699998,0.00113367896999,0.0011349994327000002,0.00113640374463,0.00113885927584,0.0011434703351400001,0.0011469391068074804
Reference,EDGAR AR6,ABW,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1.01429846524,0.867010479042,1.1674776059467,1.196804777426,1.172818163678,1.1727529088000002,1.11733024567,0.90048869453,0.87459090067,0.8537393243248
Reference,EDGAR AR6,AFG,Emissions|CH4,Mt CH4/yr,0.6327852216233,0.6501010642285501,0.6359421610277,0.6329214304712499,0.64997855853321,0.6259145276495001,0.6167281612029201,0.61120929226582,0.62008474312134,0.6227753672437362
Reference,EDGAR AR6,AFG,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,7.2632691271,11.936329205,9.883009903,8.172491616,7.37322471144,7.711370647545,6.3406749496999995,8.60875669317,8.711732757810001,12.04746905876
Reference,EDGAR AR6,AGO,Emissions|CH4,Mt CH4/yr,1.7119244048050002,1.632218630925,1.671942524609,1.6981288530890002,1.680308013808,1.76373461769,1.7344489875395,1.708083423649,1.721085685457,1.7827087220954556
Reference,EDGAR AR6,AGO,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,23.836741354167,24.842759420086,24.19933055601,27.831634982233,30.42034842393,32.606670099771,33.071919641714,28.248617597176,26.454253629429203,24.4580927706216
Reference,EDGAR AR6,AIA,Emissions|CH4,Mt CH4/yr,0.000142558857005385,0.000144498769124285,0.00014625906582428502,0.00014817019416383498,0.000149839330331371,0.000151487961500499,0.00015227978071479997,0.000153033983292051,0.00015359124662825098,0.00015529571136526176
Reference,EDGAR AR6,AIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,0.0240045198324,0.0260080367764,0.0260232096264,0.0279405237515,0.0278960509127,0.028005445025300002,0.0283398622364,0.029062418774300002,0.0282229807907,0.027579999535
Reference,EDGAR AR6,AIR,Emissions|CH4,Mt CH4/yr,0.003199109004,0.003317843006,0.003344019487,0.003400996002,0.003514635496,0.00370899798895,0.00388899199925,0.00411616949395,0.00428886254635,0.004445297664782149
Reference,EDGAR AR6,AIR,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,457.4719503,474.4500891,478.1938131,486.33826469999997,502.58840380000004,530.376870194,553.786633436,584.8633067860001,609.402253206,615.885560082
Reference,EDGAR AR6,ALB,Emissions|CH4,Mt CH4/yr,0.09192820175445,0.09097003524791,0.09341297539444,0.09593301619962001,0.09843263182822999,0.09978290467507,0.09828047164053,0.0976016202126,0.09682532816548998,0.09557506597201865
Reference,EDGAR AR6,ALB,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4.5996942695000005,4.996602265869999,4.55747657746,4.79133586675,5.11473972308,4.89405958849,4.7246631278299995,5.34665918419,5.372931687756,5.576278146970999
Reference,EDGAR AR6,ANT,Emissions|CH4,Mt CH4/yr,0.0034941920685299995,0.0046451722102,0.00471547541612,0.0047829945707199995,0.0049771799572,0.004868415027130001,0.0046164804287200005,0.00423559052817,0.004126280132349999,0.00414556650994506
Reference,EDGAR AR6,ANT,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4.4350095829,5.55410349757,4.50175301303,4.34466823759,4.664153385850001,4.731343709200001,4.190442504040001,3.78782327958,3.2614317709,3.18418999431
Reference,EDGAR AR6,ARE,Emissions|CH4,Mt CH4/yr,1.4000017723229,1.491244577368,1.548073632762,1.5904466892100002,1.6052019938591,1.7241483723448001,1.7644846040509001,1.7528677417116,1.78954807964818,1.8217446747721309
Reference,EDGAR AR6,ARE,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,172.03364141086,176.36454617727,185.96933289196,195.69759857896997,197.8282299231,208.152813037,215.09185535909998,220.52611560350002,214.26673255019998,212.82949876639998
Reference,EDGAR AR6,ARG,Emissions|CH4,Mt CH4/yr,4.854352510934101,4.7975662118194995,4.910976847606601,4.966080471428301,5.0175715964174,5.0906921531178,5.1129842190303005,5.163733436670101,5.1890241867828,5.284774641769415
