"Category [# scenarios]","Category_name","Scenario range (peak)","Scenario range (2100)","Climate range","Combined range"
"C1 [86]","C1: Below 1.5Â°C with no or low OS","1.59 [1.46-1.61]","1.35 [1.16-1.47]","1.59 [1.21-2.14]","1.59 [1.12-2.25]"
"C2 [59]","C2: Below 1.5°C with high OS","1.69 [1.62-1.8]","1.42 [1.22-1.48]","1.69 [1.27-2.32]","1.69 [1.23-2.5]"
"C3 [116]","C3: Likely below 2°C","1.75 [1.63-1.83]","1.62 [1.51-1.74]","1.75 [1.31-2.5]","1.75 [1.17-2.66]"
"C4 [57]","C4: Below 2°C","1.9 [1.84-1.99]","1.8 [1.64-1.99]","1.9 [1.39-2.78]","1.9 [1.25-2.98]"
"C5 [84]","C5: Below 2.5°C","2.14 [2.01-2.4]","2.12 [1.93-2.39]","2.14 [1.52-3.24]","2.14 [1.44-3.58]"
"C6 [34]","C6: Below 3.0°C","2.66 [2.51-2.93]","2.66 [2.51-2.93]","2.66 [1.85-3.89]","2.66 [1.74-4.35]"
"C7 [24]","C7: Below 4.0°C","3.37 [3.07-3.89]","3.37 [3.07-3.89]","3.37 [2.45-4.86]","3.37 [2.2-5.49]"
